
Network Stats for the last 57 seconds:

Total Sent Spatial Packets: 384
Total Requested to Send Spatial Packets: 2746
Total Sent Actor Motion Hints Packets: 0
Percentage of Usual Bandwidth Used: 13.98%


Total Sent: 1324, 0B (2.08MB)
63  PlayerListPacket                  0.63MB, Num 2, Avg 321.21KB
52  CraftingDataPacket                344.11KB, Num 1, Avg 344.11KB
76  AvailableCommandsPacket           289.54KB, Num 1, Avg 289.54KB
122 BiomeDefinitionListPacket         272.60KB, Num 1, Avg 272.60KB
174 SubChunkPacket                    196.97KB, Num 58, Avg 3.40KB
191 FeatureRegistryPacket             111.57KB, Num 1, Avg 111.57KB
162 ItemRegistryPacket                85.38KB, Num 1, Avg 85.38KB
145 CreativeContentPacket             49.02KB, Num 1, Avg 49.02KB
13  AddActorPacket                    29.04KB, Num 27, Avg 1.08KB
29  UpdateAttributesPacket            27.79KB, Num 29, Avg 0.96KB
39  SetActorDataPacket                24.29KB, Num 198, Avg 125B
56  BlockActorDataPacket              12.66KB, Num 62, Avg 209B
119 AvailableActorIdentifiersPacket   8.48KB, Num 1, Avg 8.48KB
136 ClientCacheMissResponsePacket     7.58KB, Num 39, Avg 199B
199 UnlockedRecipesPacket             5.23KB, Num 1, Avg 5.23KB
111 MoveActorDeltaPacket              5.13KB, Num 384, Avg 13B
58  LevelChunkPacket                  4.92KB, Num 219, Avg 23B
172 UpdateSubChunkBlocksPacket        4.58KB, Num 67, Avg 69B
121 NetworkChunkPublisherUpdatePacket 1.27KB, Num 79, Avg 16B
302 TrimDataPacket                    1.24KB, Num 1, Avg 1.24KB
320 CameraAimAssistPresetsPacket      1.05KB, Num 1, Avg 1.05KB
165 SyncActorPropertyPacket           0.99KB, Num 8, Avg 126B
11  StartGamePacket                   0.97KB, Num 1, Avg 0.97KB
32  MobArmorEquipmentPacket           0.86KB, Num 6, Avg 147B
72  GameRulesChangedPacket            0.70KB, Num 1, Avg 0.70KB
123 LevelSoundEventPacket             0.67KB, Num 22, Avg 31B
21  UpdateBlockPacket                 0.65KB, Num 52, Avg 12B
3   ServerToClientHandshakePacket     428B, Num 1, Avg 428B
49  InventoryContentPacket            339B, Num 11, Avg 30B
198 CameraPresetsPacket               334B, Num 1, Avg 334B
31  MobEquipmentPacket                246B, Num 6, Avg 41B
6   ResourcePacksInfoPacket           102B, Num 1, Avg 102B
187 UpdateAbilitiesPacket             70B, Num 2, Avg 35B
124 LevelEventGenericPacket           64B, Num 1, Avg 64B
7   ResourcePackStackPacket           57B, Num 1, Avg 57B
45  RespawnPacket                     45B, Num 3, Avg 15B
50  InventorySlotPacket               35B, Num 5, Avg 7B
316 CameraAimAssistPacket             34B, Num 2, Avg 17B
43  SetSpawnPositionPacket            24B, Num 1, Avg 24B
114 UpdateSoftEnumPacket              22B, Num 1, Avg 22B
26  BlockEventPacket                  16B, Num 2, Avg 8B
40  SetActorMotionPacket              15B, Num 1, Avg 15B
143 NetworkSettingsPacket             12B, Num 1, Avg 12B
314 CurrentStructureFeaturePacket     12B, Num 4, Avg 3B
10  SetTimePacket                     12B, Num 3, Avg 4B
2   PlayStatusPacket                  10B, Num 2, Avg 5B
46  ContainerOpenPacket               9B, Num 1, Avg 9B
48  PlayerHotbarPacket                8B, Num 2, Avg 4B
188 UpdateAdventureSettingsPacket     7B, Num 1, Avg 7B
307 SetPlayerInventoryOptionsPacket   7B, Num 1, Avg 7B
47  ContainerClosePacket              4B, Num 1, Avg 4B
160 PlayerFogPacket                   3B, Num 1, Avg 3B
60  SetDifficultyPacket               2B, Num 1, Avg 2B
70  ChunkRadiusUpdatedPacket          2B, Num 1, Avg 2B
42  SetHealthPacket                   2B, Num 1, Avg 2B
59  SetCommandsEnabledPacket          2B, Num 1, Avg 2B

Total Received: 341, 0B (0.60MB)
1   LoginPacket                       0.56MB, Num 1, Avg 0.56MB
144 PlayerAuthInputPacket             19.98KB, Num 217, Avg 94B
135 ClientCacheBlobStatusPacket       12.56KB, Num 39, Avg 329B
175 SubChunkRequestPacket             4.60KB, Num 58, Avg 81B
98  NpcRequestPacket                  48B, Num 8, Avg 6B
30  InventoryTransactionPacket        44B, Num 1, Avg 44B
36  PlayerActionPacket                26B, Num 2, Avg 13B
33  InteractPacket                    15B, Num 1, Avg 15B
321 ClientCameraAimAssistPacket       10B, Num 2, Avg 5B
8   ResourcePackClientResponsePacket  8B, Num 2, Avg 4B
312 ServerboundLoadingScreenPacket    8B, Num 2, Avg 4B
31  MobEquipmentPacket                6B, Num 1, Avg 6B
193 RequestNetworkSettingsPacket      6B, Num 1, Avg 6B
47  ContainerClosePacket              4B, Num 1, Avg 4B
129 ClientCacheStatusPacket           3B, Num 1, Avg 3B
69  RequestChunkRadiusPacket          3B, Num 1, Avg 3B
44  AnimatePacket                     3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket 2B, Num 1, Avg 2B
4   ClientToServerHandshakePacket     1B, Num 1, Avg 1B

