
Network Stats for the last 349 seconds:

Total Sent Spatial Packets: 20052
Total Requested to Send Spatial Packets: 64579
Total Sent Actor Motion Hints Packets: 569
Percentage of Usual Bandwidth Used: 31.62%


Total Sent: 69360, 0B (3.86MB)
63  PlayerListPacket                   0.63MB, Num 2, Avg 321.19KB
39  SetActorDataPacket                 0.58MB, Num 36253, Avg 16B
174 SubChunkPacket                     0.52MB, Num 335, Avg 1.59KB
136 ClientCacheMissResponsePacket      466.24KB, Num 193, Avg 2.42KB
52  CraftingDataPacket                 344.01KB, Num 1, Avg 344.01KB
111 MoveActorDeltaPacket               292.33KB, Num 20052, Avg 14B
76  AvailableCommandsPacket            288.27KB, Num 1, Avg 288.27KB
13  AddActorPacket                     262.44KB, Num 502, Avg 0.52KB
56  BlockActorDataPacket               119.50KB, Num 421, Avg 290B
28  MobEffectPacket                    88.25KB, Num 8428, Avg 10B
162 ItemRegistryPacket                 85.14KB, Num 1, Avg 85.14KB
29  UpdateAttributesPacket             73.55KB, Num 134, Avg 0.55KB
145 CreativeContentPacket              48.92KB, Num 1, Avg 48.92KB
32  MobArmorEquipmentPacket            24.86KB, Num 146, Avg 174B
58  LevelChunkPacket                   21.56KB, Num 960, Avg 23B
15  AddItemActorPacket                 9.89KB, Num 34, Avg 298B
172 UpdateSubChunkBlocksPacket         8.38KB, Num 47, Avg 182B
119 AvailableActorIdentifiersPacket    8.18KB, Num 1, Avg 8.18KB
40  SetActorMotionPacket               6.97KB, Num 476, Avg 15B
122 BiomeDefinitionListPacket          6.57KB, Num 1, Avg 6.57KB
123 LevelSoundEventPacket              5.59KB, Num 205, Avg 27B
14  RemoveActorPacket                  3.68KB, Num 554, Avg 6B
22  AddPaintingPacket                  2.35KB, Num 87, Avg 27B
49  InventoryContentPacket             1.41KB, Num 48, Avg 30B
121 NetworkChunkPublisherUpdatePacket  1.36KB, Num 155, Avg 9B
302 TrimDataPacket                     1.24KB, Num 1, Avg 1.24KB
320 CameraAimAssistPresetsPacket       1.05KB, Num 1, Avg 1.05KB
165 SyncActorPropertyPacket            0.99KB, Num 8, Avg 126B
11  StartGamePacket                    0.97KB, Num 1, Avg 0.97KB
31  MobEquipmentPacket                 0.90KB, Num 29, Avg 31B
21  UpdateBlockPacket                  0.88KB, Num 82, Avg 11B
72  GameRulesChangedPacket             0.70KB, Num 1, Avg 0.70KB
114 UpdateSoftEnumPacket               440B, Num 22, Avg 20B
3   ServerToClientHandshakePacket      428B, Num 1, Avg 428B
19  MovePlayerPacket                   390B, Num 10, Avg 39B
161 CorrectPlayerMovePredictionPacket  389B, Num 13, Avg 29B
198 CameraPresetsPacket                334B, Num 1, Avg 334B
88  SetTitlePacket                     318B, Num 20, Avg 15B
199 UnlockedRecipesPacket              299B, Num 2, Avg 149B
86  PlaySoundPacket                    256B, Num 9, Avg 28B
316 CameraAimAssistPacket              255B, Num 15, Avg 17B
43  SetSpawnPositionPacket             180B, Num 8, Avg 22B
314 CurrentStructureFeaturePacket      123B, Num 41, Avg 3B
187 UpdateAbilitiesPacket              105B, Num 3, Avg 35B
65  LegacyTelemetryEventPacket         105B, Num 5, Avg 21B
9   TextPacket                         81B, Num 1, Avg 81B
151 UpdatePlayerGameTypePacket         66B, Num 6, Avg 11B
124 LevelEventGenericPacket            64B, Num 1, Avg 64B
48  PlayerHotbarPacket                 48B, Num 12, Avg 4B
45  RespawnPacket                      45B, Num 3, Avg 15B
10  SetTimePacket                      42B, Num 14, Avg 3B
6   ResourcePacksInfoPacket            28B, Num 1, Avg 28B
143 NetworkSettingsPacket              12B, Num 1, Avg 12B
7   ResourcePackStackPacket            12B, Num 1, Avg 12B
2   PlayStatusPacket                   10B, Num 2, Avg 5B
188 UpdateAdventureSettingsPacket      7B, Num 1, Avg 7B
70  ChunkRadiusUpdatedPacket           4B, Num 2, Avg 2B
160 PlayerFogPacket                    3B, Num 1, Avg 3B
60  SetDifficultyPacket                2B, Num 1, Avg 2B
59  SetCommandsEnabledPacket           2B, Num 1, Avg 2B
42  SetHealthPacket                    2B, Num 1, Avg 2B

Total Received: 3786, 0B (0.89MB)
1   LoginPacket                        0.56MB, Num 1, Avg 0.56MB
144 PlayerAuthInputPacket              289.45KB, Num 3123, Avg 94B
175 SubChunkRequestPacket              30.02KB, Num 335, Avg 91B
135 ClientCacheBlobStatusPacket        16.43KB, Num 193, Avg 87B
30  InventoryTransactionPacket         2.34KB, Num 57, Avg 42B
36  PlayerActionPacket                 250B, Num 25, Avg 10B
322 ClientMovementPredictionSyncPacket 244B, Num 4, Avg 61B
77  CommandRequestPacket               202B, Num 5, Avg 40B
33  InteractPacket                     105B, Num 7, Avg 15B
321 ClientCameraAimAssistPacket        75B, Num 15, Avg 5B
44  AnimatePacket                      33B, Num 11, Avg 3B
312 ServerboundLoadingScreenPacket     8B, Num 2, Avg 4B
8   ResourcePackClientResponsePacket   8B, Num 2, Avg 4B
193 RequestNetworkSettingsPacket       6B, Num 1, Avg 6B
69  RequestChunkRadiusPacket           6B, Num 2, Avg 3B
129 ClientCacheStatusPacket            3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket  2B, Num 1, Avg 2B
4   ClientToServerHandshakePacket      1B, Num 1, Avg 1B

